family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17
1,108,86,73,70,44,24,20,5,193,116,78,41,,,,,
1,222,207,188,162,148,128,124,113,211,138,206,38,,,,,
1,240,231,176,88,72,49,32,238,171,69,169,66,15,122,102,9,
1,57,93,18,14,48,6,2,233,232,170,43,30,10,25,,,
1,42,12,11,7,54,223,205,164,159,135,101,56,107,35,27,26,19
1,119,115,118,110,94,92,85,79,64,62,60,59,120,37,,,
1,204,203,199,191,167,154,192,150,134,131,127,126,125,103,17,,
1,53,225,219,89,75,29,71,22,13,23,8,4,234,224,210,,
1,140,111,100,84,130,82,81,68,67,65,,,,,,,
1,237,194,165,184,197,183,172,161,149,137,,,,,,,
1,33,239,230,221,220,213,212,189,186,3,1,,,,,,
1,182,175,147,133,96,74,104,61,99,58,52,47,46,,,,
1,156,28,21,235,228,40,36,229,227,195,180,178,146,,,,
1,16,174,185,166,145,153,105,142,97,91,90,76,55,,,,
1,95,51,45,196,218,200,187,181,177,160,158,63,,,,,
1,214,173,129,123,83,34,50,39,31,,,,,,,,
1,217,236,143,132,80,112,87,77,,,,,,,,,
1,109,106,98,,,,,,,,,,,,,,
1,216,139,141,136,121,117,114,,,,,,,,,,
1,201,157,163,155,152,151,144,,,,,,,,,,
1,215,209,208,202,198,190,179,168,,,,,,,,,
1,226,,,,,,,,,,,,,,,,
