family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15
1,86,73,70,66,72,24,5,3,193,174,49,244,206,74,56
1,162,148,129,124,113,108,107,125,88,44,116,,,,
1,310,256,254,238,207,190,188,164,171,68,30,69,12,11,7
1,167,128,48,32,15,319,309,268,211,54,67,259,91,50,
1,2,131,262,243,240,233,232,231,222,217,255,205,135,19,152
1,138,59,18,14,293,6,301,292,276,308,85,60,4,95,20
1,159,311,290,130,169,283,280,170,78,64,51,25,,,
1,225,154,136,134,150,127,126,118,119,115,110,94,92,,
1,295,281,271,266,251,246,234,224,204,203,199,192,149,,
1,40,307,323,304,303,300,299,289,287,8,,,,,
1,53,321,111,100,84,65,43,29,23,22,13,9,,,
1,96,264,237,194,165,184,161,120,103,102,101,82,71,,
1,61,57,317,272,265,213,220,212,197,189,186,183,178,122,
1,166,58,137,239,235,230,248,226,223,221,,,,,
1,147,93,294,286,274,269,252,,,,,,,,
1,250,182,175,140,133,104,98,47,46,52,38,37,35,10,1
1,260,245,228,33,241,227,195,180,146,99,81,,,,
1,79,62,28,21,41,318,313,291,284,278,277,229,163,,
1,105,76,144,142,55,42,34,31,298,,,,,,
1,16,279,253,196,218,185,177,160,158,156,153,145,90,36,27
1,214,297,275,322,273,285,219,216,210,200,187,39,,,
1,258,257,173,45,236,123,89,26,17,198,315,261,168,,
1,270,263,77,114,75,63,97,,,,,,,,
1,139,106,87,83,80,,,,,,,,,,
1,155,132,112,109,,,,,,,,,,,
1,209,172,151,143,141,121,157,117,,,,,,,
1,302,202,201,191,179,176,,,,,,,,,
2,312,267,247,242,215,208,181,,,,,,,,
1,296,288,320,282,249,,,,,,,,,,
1,316,314,306,305,,,,,,,,,,,
