family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
1,108,81,61,24,22,15,5,137,69,57,126,196,115,31,,
1,288,247,238,218,188,162,402,128,91,429,222,,,,,
1,350,335,363,332,329,310,309,156,78,406,248,384,,,,
1,174,155,114,58,72,37,492,474,458,88,172,62,144,405,359,277
1,389,319,287,286,265,262,239,232,211,193,41,18,25,116,,
1,2,400,3,356,6,325,292,223,236,140,127,282,242,149,226,
1,414,358,311,199,409,331,295,283,259,111,34,46,43,348,,
1,54,110,159,14,401,169,473,440,426,206,118,387,345,344,229,347
1,16,12,377,403,320,364,293,256,254,244,142,427,252,,,
1,94,92,64,217,445,471,484,424,422,420,150,220,63,198,,
1,246,234,224,213,221,204,192,190,163,161,158,,,,,
1,341,340,312,333,299,323,303,289,278,271,266,264,251,50,51,
1,19,4,446,243,478,472,443,441,407,366,338,113,,,,
1,225,194,165,143,184,71,49,23,8,453,11,394,,,,
1,465,96,321,260,269,101,102,83,82,68,65,,,,,
1,103,383,272,212,197,186,183,167,,,,,,,,
1,391,382,368,334,369,317,315,291,,,,,,,,
1,281,175,456,486,483,482,493,480,468,459,447,432,431,,,
1,136,133,44,17,178,76,38,35,7,1,45,85,,,,
1,154,131,99,55,52,47,,,,,,,,,,
1,327,245,233,205,139,203,195,284,227,187,182,180,263,146,132,
1,21,313,381,376,494,374,442,404,372,370,362,354,352,185,,
1,415,105,152,59,42,28,90,487,491,490,466,,,,,
1,489,177,191,189,166,145,160,125,123,104,98,95,,,,
1,380,355,437,328,297,294,322,298,285,273,261,258,253,250,240,
1,395,410,411,346,351,349,339,330,324,357,279,,,,,
1,448,419,416,413,399,397,393,386,,,,,,,,
1,300,74,40,318,496,481,475,454,451,438,430,385,,,,
1,455,433,412,210,173,107,56,79,66,39,33,32,30,26,365,
1,379,257,214,457,130,230,93,86,80,77,436,,,,,
1,153,97,467,460,367,138,202,106,100,87,171,,,,,
1,304,408,398,179,168,124,122,121,117,112,450,353,,,,
1,201,157,151,164,141,135,423,,,,,,,,,
1,462,270,255,241,235,209,208,181,176,,,,,,,
2,302,378,10,479,337,296,249,231,476,215,,,,,,
1,267,463,326,314,306,373,305,452,134,170,,,,,,
1,20,129,444,439,421,396,84,392,390,388,67,477,418,,,
1,485,469,434,425,,,,,,,,,,,,
1,301,200,119,53,470,,,,,,,,,,,
1,464,428,360,343,342,307,290,276,274,,,,,,,
1,316,147,120,109,73,13,27,148,461,,,,,,,
1,70,48,449,417,495,371,308,280,275,228,,,,,,
1,207,9,29,361,488,435,268,375,,,,,,,,
1,219,216,89,75,60,36,,,,,,,,,,
1,336,237,,,,,,,,,,,,,,
